text_id,O_true,O_pred,C_true,C_pred,E_true,E_pred,A_true,A_pred,N_true,N_pred
"",0,1,0,0,0,1,1,1,1,1
"",0,0,0,0,1,0,0,0,0,1
"",0,1,0,1,0,1,0,1,1,1
"",1,1,0,0,0,0,1,1,0,0
"",0,1,1,0,0,0,0,1,1,1
"",0,1,1,1,0,1,0,1,0,0
"",1,1,0,0,1,1,1,1,0,1
"",1,1,1,0,0,0,1,1,0,1
"",1,1,0,0,1,1,1,1,1,0
"",1,1,1,0,1,0,1,1,0,1
"",1,1,0,0,0,1,0,1,1,0
"",1,1,0,0,1,1,1,1,0,0
"",1,1,0,1,0,1,0,1,0,0
"",0,1,1,0,0,1,1,1,0,0
"",1,1,1,0,1,1,0,1,0,0
"",0,1,0,0,0,1,1,1,1,0
"",1,1,1,0,1,1,0,1,1,0
"",0,1,1,0,0,1,1,1,0,0
"",0,1,1,0,0,1,1,1,0,0
"",1,1,0,0,1,1,0,1,0,0
"",0,1,1,0,0,0,0,1,1,1
"",1,1,0,0,1,0,1,1,0,1
"",1,1,1,0,1,0,1,1,0,0
"",0,1,0,0,0,1,1,1,0,0
"",1,1,1,0,0,1,1,1,0,0
"",1,1,0,0,0,1,1,1,1,0
"",0,1,1,0,1,1,1,1,0,0
"",0,1,0,0,0,1,0,1,1,0
"",1,1,0,0,0,1,0,1,0,0
"",1,1,1,1,1,0,1,1,0,1
"",1,1,1,0,0,0,1,0,0,1
"",1,1,0,0,1,1,1,1,0,0
"",1,1,1,0,1,1,0,1,0,0
"",1,1,0,1,1,1,1,1,1,1
"",1,1,0,0,0,1,1,1,1,0
"",1,1,0,0,1,1,1,1,1,0
"",1,1,1,0,0,1,1,1,1,1
"",0,1,0,0,0,0,0,0,1,1
"",1,1,1,0,1,1,1,1,1,0
"",1,1,0,0,1,1,0,1,0,0
"",1,1,1,0,1,0,1,1,1,1
"",1,1,0,0,1,0,1,0,1,1
"",0,1,1,0,0,1,0,1,1,0
"",1,1,0,0,0,0,0,1,1,0
"",1,1,0,0,0,1,1,1,0,0
"",1,1,0,0,0,1,0,1,1,0
"",0,1,0,0,1,1,0,1,1,0
"",0,1,1,0,1,1,0,1,1,0
"",0,0,1,0,0,1,1,1,0,0
"",1,1,1,0,0,1,0,1,0,0
"",1,1,1,1,1,1,1,1,0,0
"",0,1,0,0,1,1,1,1,0,0
"",1,1,1,0,1,1,1,1,1,0
"",0,1,0,1,1,1,1,1,1,1
"",0,1,0,0,0,1,1,1,1,0
"",0,0,0,0,0,1,0,1,1,1
"",1,1,1,1,1,1,1,1,1,0
"",1,1,1,0,1,1,1,1,0,0
"",0,1,1,0,1,1,1,1,0,0
"",0,1,1,0,1,1,1,1,1,0
"",1,1,0,0,1,1,0,1,0,0
"",1,1,1,1,0,0,0,1,0,0
"",0,1,1,0,0,1,0,1,0,0
"",0,1,1,1,0,0,0,1,0,1
"",0,1,0,0,0,0,1,1,1,1
"",1,1,0,0,1,1,0,1,1,0
"",1,0,1,1,1,0,1,0,0,1
"",1,1,0,1,1,1,0,1,1,1
"",1,1,1,1,1,1,1,1,0,0
"",1,1,1,1,0,0,1,1,1,1
"",0,1,1,0,1,1,0,1,0,0
"",1,1,0,0,1,1,0,1,1,1
"",1,1,1,0,0,1,1,1,1,0
"",1,1,0,0,1,1,0,1,0,0
"",0,1,0,1,1,1,1,1,0,1
"",0,1,1,0,0,1,0,1,0,0
"",1,1,1,0,1,1,1,1,0,0
"",0,1,0,0,0,1,0,1,1,1
"",0,1,0,0,0,1,1,1,0,1
"",1,1,1,0,1,1,1,0,1,1
"",1,1,1,0,1,1,1,0,0,1
"",0,1,0,0,1,1,0,1,0,0
"",0,1,0,0,1,1,1,1,1,1
"",1,1,1,1,1,0,1,1,0,0
"",0,1,0,0,0,1,1,1,0,1
"",0,1,1,0,1,1,1,1,0,1
"",1,1,1,1,1,1,0,1,1,1
"",1,1,0,0,1,1,0,1,0,0
"",0,1,1,0,1,1,1,1,0,0
"",0,1,0,0,1,1,1,1,1,1
"",0,1,0,0,0,1,1,1,1,0
"",1,1,1,0,1,1,1,1,0,0
"",1,1,0,0,0,1,0,1,1,0
"",1,1,1,0,1,1,1,1,1,0
"",1,1,0,0,1,1,0,1,0,0
"",1,1,1,0,0,1,1,0,1,1
"",0,1,1,0,1,0,0,1,1,1
"",0,1,0,0,1,1,0,1,0,0
"",0,1,1,0,0,0,1,1,1,1
"",1,1,1,0,1,0,1,1,0,0
"",1,1,0,0,0,1,1,1,0,0
"",0,1,0,0,0,0,0,1,1,1
"",0,1,1,0,0,1,1,1,1,0
"",0,1,0,0,1,1,0,1,1,0
"",1,1,1,0,1,1,1,1,0,1
"",0,1,1,0,0,1,1,1,1,0
"",0,1,1,1,0,1,0,1,0,0
"",0,1,0,0,1,1,1,1,1,0
"",0,1,1,0,1,1,0,1,0,0
"",1,1,1,0,0,1,1,1,0,0
"",1,1,0,0,1,0,0,1,0,0
"",0,1,1,1,1,1,0,0,0,1
"",0,1,0,0,0,1,1,1,1,0
"",1,1,1,0,1,1,1,1,1,0
"",0,1,0,0,0,0,0,1,1,0
"",0,1,1,0,1,0,1,1,1,1
