gender_true,gender_pred,mbti_true,mbti_pred
male,unknown,INFJ,XXXX
female,unknown,INFJ,XXXX
female,unknown,INFP,XXXX
female,female,ENFP,INFP
male,female,ENTJ,INFP
female,unknown,INTJ,XXXX
female,unknown,ESFJ,XXXX
female,unknown,ENFJ,XXXX
female,female,ESFJ,INFP
male,female,ENTP,INFP
male,unknown,ENTJ,XXXX
female,female,ESFJ,INFP
female,female,ESFJ,INFP
female,female,INFJ,INFP
male,unknown,INFJ,XXXX
male,unknown,ENTJ,XXXX
male,unknown,INFP,XXXX
male,unknown,INTJ,XXXX
female,unknown,ESFJ,XXXX
female,unknown,ISTJ,XXXX
female,unknown,ISFJ,XXXX
male,female,INFJ,INFP
female,unknown,ENFJ,XXXX
male,unknown,INTJ,XXXX
female,unknown,ESTP,XXXX
female,unknown,ESFJ,XXXX
female,unknown,ISFJ,XXXX
female,unknown,ISFP,XXXX
male,female,INTP,INFP
male,female,INTJ,INFP
female,female,ISTJ,INFP
female,unknown,ESFJ,XXXX
female,female,ESFJ,INFP
female,female,ESFJ,INFP
female,unknown,INFP,XXXX
female,unknown,ESTJ,XXXX
male,female,ENTJ,INFP
female,female,ISFJ,INFP
male,female,INTJ,INFP
female,female,ISFJ,INFP
female,unknown,ESTJ,XXXX
female,female,INTP,INFP
male,unknown,ENFJ,XXXX
male,female,INTJ,INFP
female,female,ESFJ,INFP
female,unknown,ISTJ,XXXX
female,unknown,ENFJ,XXXX
female,unknown,ENFJ,XXXX
female,unknown,ENFJ,XXXX
female,unknown,ENFP,XXXX
