type_true,type_pred
INFJ,INFJ
INFJ,INFJ
INFJ,INTJ
INFJ,INFJ
ENFP,ENFP
INTP,INTP
INFJ,ISFP
ENTP,INTJ
INFP,INFP
INFP,INFP
INTP,INTJ
INFP,INFP
INFJ,INFJ
INFP,INFP
ISTP,INTJ
INFP,INFP
ENTP,INTJ
ISTP,ISTP
INFJ,ESFP
INTJ,INTJ
INFP,INFP
ISFJ,ISFP
ENFP,ENFP
INFP,INFP
INTJ,INTJ
ISTJ,ISTJ
ENTP,ENTP
INTJ,INTJ
INFP,INFP
INFP,INFJ
INFP,INTP
INTJ,INTJ
INTJ,INTJ
ENTP,ENTP
ESTJ,ESTJ
INFP,INFP
INTJ,INTJ
INFP,INFP
INFP,INFP
INTP,INTJ
INFP,INFP
ISFP,ISFP
ENTP,INTP
ISTP,ISTP
INFP,INFJ
INFP,INFP
INFJ,INFJ
ENFP,ENFP
INFP,INFP
INFP,INFP
ENTJ,ENTJ
INFP,INFP
ISFJ,ISFJ
ISFJ,ISFJ
ISFP,ISTP
ENTP,ENTP
INTJ,INTJ
ENFP,ESFP
INTP,INTP
INFJ,INFJ
ENTP,INTP
ENFP,ENFP
ISTP,ISTP
ESTP,ESTP
INFJ,INFJ
ENFJ,ENFP
INFJ,INFJ
INTP,INTP
INFP,INFP
INFJ,INTJ
ISFP,ISFP
ISTP,ISTP
INFP,INFP
ISFP,INFP
ISFP,ISFP
INFP,INFP
INTP,INTP
INFJ,INFJ
INFJ,INFJ
INFP,INFP
ISTP,ISTP
INTP,INTJ
INTJ,INTP
INTJ,INTJ
INFJ,INFJ
INFP,INFP
INTJ,INTJ
ISFP,ISFP
INTJ,INTJ
ENTP,ENTP
ISTP,INFP
ENFP,ENFP
ENFP,ENFP
ISFP,INTJ
ISTP,ESFP
INTP,INTP
INFP,INFP
INTJ,INTJ
INTJ,INTJ
ENTP,ENTP
ENTP,ENTP
ESFJ,ESFJ
INTJ,INTP
ENFJ,ENFJ
INTP,INTP
INFP,INFP
INFJ,INTP
ISFP,ISFP
ENTP,ENTP
INTP,ISTJ
ENFP,ENFP
INTJ,INTJ
ENFP,ENTP
INFJ,INFJ
INTJ,INTJ
INFJ,INFJ
INTJ,INTJ
ISTJ,ISTJ
ENFP,ENFP
ENTP,ENTP
INTJ,INTJ
INTP,INTP
INFP,INFP
INTJ,INTJ
INFJ,INFJ
ISFP,ISFP
INTP,INTP
INTP,INTP
INFP,INTP
INTP,INTP
INFP,INFP
INFJ,INFJ
ENTP,ENTP
INFJ,INTP
INTJ,INTJ
INFJ,INFJ
ENTP,INTJ
INTP,INTP
ENFP,ENFP
INFJ,INTP
INFJ,INFJ
INTJ,INTJ
INFP,INFP
INFP,INFP
INFJ,INFJ
INFP,INFP
INTP,INTP
INFJ,INTJ
INFP,INFP
ISFP,ISFP
INFJ,ISTP
INFP,INTP
INTJ,INTJ
INTP,ENTP
INTJ,INFJ
INFP,INFJ
ENFJ,INTJ
INTJ,INTJ
INTP,INTJ
ENTP,ENTP
INFP,INFP
INFJ,INFJ
ISFP,ISFP
INFJ,INFJ
ENFP,ENFP
INTP,INTJ
INTJ,INTJ
ISTP,ISTP
ISFP,INTJ
ENTJ,ENTJ
INFP,INTJ
ENFP,ENFP
INFJ,INFJ
ENFP,INTJ
INTJ,INTJ
INFP,ISTJ
INFP,INFP
INFJ,INFJ
ENTP,ENTP
INTP,INTP
INFP,INFP
INTJ,INTJ
ISTP,ISTP
ENTP,ENTP
ENFP,ENFP
INFJ,INFJ
INTP,INTP
INTP,INTP
INFP,INFP
ENFP,ENFP
INFP,INFP
ENFP,ENFP
INTP,INTJ
INTP,INTP
INFJ,INFJ
INFP,INFP
INTP,INTP
ISTJ,INTJ
INFJ,ENFJ
INFP,INTP
ENFP,ENFP
ISFJ,ISFJ
INTJ,INFJ
INFP,INFP
INTP,INTJ
INFP,INFP
INFJ,INFJ
INTJ,INTJ
ISTP,ISFP
INFJ,INFJ
INTJ,INTJ
ISTJ,ISTJ
INTJ,INTJ
INTJ,INTJ
INFP,INFP
INFP,INFJ
INTJ,INTJ
INTJ,INTJ
INFP,INTJ
INTJ,INTJ
INFJ,INFJ
ENFJ,ENFJ
INFP,INFP
