O_true,C_true,E_true,A_true,N_true,O_pred,C_pred,E_pred,A_pred,N_pred
0,1,1,1,0,0,0,0,0,0
0,0,0,1,0,0,0,0,0,0
1,0,1,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
0,0,0,0,1,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0
1,0,1,1,1,0,0,0,0,0
0,1,0,1,1,0,0,0,0,0
0,0,0,1,0,0,0,0,0,0
0,1,1,0,1,0,0,0,0,0
1,0,1,1,0,0,0,0,0,0
0,1,0,1,1,0,0,0,0,0
0,1,0,0,1,0,0,0,0,0
1,1,1,1,0,0,0,0,0,0
1,0,1,0,0,0,0,0,0,0
1,1,0,0,0,1,0,0,0,1
1,0,0,1,0,0,0,0,0,0
1,1,1,1,0,0,0,0,0,0
1,1,0,0,1,0,0,0,0,0
1,0,1,1,1,0,0,0,0,0
1,1,1,0,1,1,0,0,0,1
1,0,0,0,1,0,0,0,0,0
1,1,1,1,0,0,0,0,0,0
0,0,1,0,1,0,0,0,0,0
1,0,0,1,0,0,0,0,0,0
1,1,1,1,0,0,0,0,0,0
0,0,0,0,1,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0
0,1,0,0,1,0,0,0,0,0
1,1,1,1,0,0,0,0,0,0
0,0,0,1,0,0,0,0,0,0
1,1,1,0,0,0,0,0,0,0
0,1,1,1,0,0,0,0,0,0
1,0,1,1,0,0,0,0,0,0
0,0,1,0,0,0,0,0,0,0
1,0,0,1,0,0,0,0,0,0
1,0,1,0,0,0,0,0,0,0
0,1,1,0,0,0,0,0,0,0
0,1,0,1,0,0,0,0,0,0
0,0,0,0,1,0,0,0,0,0
0,0,1,0,0,0,0,0,0,0
1,1,0,0,1,0,0,0,0,0
1,1,1,0,0,1,0,0,0,1
1,0,1,0,1,0,0,0,0,0
1,0,0,0,1,0,0,0,0,0
0,1,0,0,1,0,0,0,0,0
1,0,0,1,0,0,0,0,0,0
1,1,1,0,0,0,0,0,0,0
1,0,1,1,1,0,0,0,0,0
1,1,1,1,0,0,0,0,0,0
1,1,0,1,0,0,0,0,0,0
1,0,0,0,1,0,0,0,0,0
0,0,1,0,0,0,0,0,0,0
0,0,0,1,1,0,0,0,0,0
1,1,1,0,1,0,0,0,0,0
1,1,1,1,0,0,0,0,0,0
0,1,0,1,1,0,0,0,0,0
1,1,0,0,1,0,0,0,0,0
0,0,1,1,0,0,0,0,0,0
0,1,0,1,0,0,0,0,0,0
0,1,1,0,0,0,0,0,0,0
0,1,1,1,0,0,0,0,0,0
1,0,1,0,1,0,0,0,0,0
1,1,1,1,0,0,0,0,0,0
1,0,1,1,0,0,0,0,0,0
0,1,1,1,0,0,0,0,0,0
1,0,0,0,1,0,0,0,0,1
1,1,1,0,0,0,0,0,0,0
1,1,1,1,0,0,0,0,0,0
0,1,1,0,0,0,0,0,0,0
1,0,1,1,1,0,0,0,0,0
1,1,1,1,0,1,0,0,1,1
1,0,1,1,0,0,0,0,0,0
0,0,0,1,0,0,0,0,0,0
0,0,1,1,0,0,0,0,0,1
0,1,0,1,0,0,0,0,0,0
1,1,1,0,1,0,0,0,0,0
0,1,1,0,1,0,0,0,0,0
0,0,1,0,1,1,0,0,0,1
1,0,1,1,1,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0
1,0,0,0,1,0,0,0,0,0
1,1,1,0,0,0,0,0,0,0
0,0,0,1,1,0,0,0,0,0
1,0,1,1,1,0,0,0,0,0
0,1,0,1,0,0,1,0,0,1
0,1,0,0,0,0,0,0,0,0
1,0,0,1,1,0,0,0,0,0
1,1,1,0,0,0,0,0,1,1
0,0,1,0,1,0,0,0,0,0
0,1,0,0,1,0,0,0,0,0
0,0,1,1,0,0,0,0,0,0
0,1,1,1,0,0,0,0,0,0
0,1,0,0,1,0,0,0,0,0
0,1,1,1,1,0,0,0,0,0
1,0,0,0,1,0,0,0,0,0
0,0,1,1,0,0,0,0,0,0
0,0,0,1,1,0,0,0,0,0
0,1,1,0,0,0,0,0,0,0
0,0,1,0,0,1,0,0,0,1
0,1,1,1,1,0,0,0,0,0
0,1,0,1,1,0,0,0,0,0
0,1,0,0,1,0,0,0,0,0
1,1,1,1,0,0,0,0,0,0
0,0,1,0,0,0,0,0,0,0
1,0,0,1,0,0,0,0,0,0
0,0,0,0,1,0,0,0,0,0
1,1,0,0,1,0,0,0,0,0
0,1,0,1,1,0,0,0,0,0
1,0,1,1,0,0,0,0,0,0
0,1,0,1,0,0,0,0,0,0
0,1,1,1,0,1,0,0,0,1
1,1,1,0,0,0,0,0,0,0
1,0,0,1,1,0,0,0,0,0
1,1,1,0,1,0,0,0,0,0
1,0,1,0,0,0,0,0,0,0
1,1,1,1,1,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,0,1,0,1,0,0,0,0,0
0,0,0,0,1,0,0,0,0,0
1,1,1,1,1,0,0,0,0,0
1,0,0,0,1,0,0,0,0,0
1,0,0,1,1,0,0,0,0,0
1,1,1,1,0,0,0,0,0,0
1,0,1,0,1,0,0,0,0,0
0,0,0,1,1,0,0,0,0,0
0,1,1,0,0,0,0,0,0,0
0,1,1,1,0,0,0,0,0,0
1,0,0,0,1,0,0,0,0,0
1,0,1,1,1,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0
1,1,1,1,0,0,0,0,0,0
1,0,1,1,0,0,0,0,0,0
0,0,0,0,1,0,0,0,0,0
1,0,1,0,1,0,0,0,0,0
0,1,1,1,0,0,0,0,0,0
0,0,0,0,1,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
0,1,0,0,1,0,0,0,0,0
1,1,1,1,1,0,0,0,0,0
0,1,1,0,1,0,0,0,0,0
0,0,1,0,0,0,0,0,0,0
1,1,0,0,1,0,0,0,0,0
1,0,0,1,1,0,0,0,0,0
1,0,0,0,1,0,0,0,0,0
0,1,0,1,1,0,0,0,0,0
0,0,1,1,0,0,0,0,0,1
0,1,0,0,1,0,0,0,0,0
1,0,0,0,1,0,0,0,0,0
1,1,1,1,0,0,0,0,0,0
1,0,0,1,1,0,0,0,0,0
1,0,0,0,1,0,0,0,0,0
0,0,1,1,1,0,0,0,0,0
0,1,1,1,0,0,0,0,1,1
0,0,1,1,0,0,0,0,0,0
1,1,0,0,1,0,0,0,1,0
0,0,1,1,1,0,0,0,0,0
1,1,1,1,1,1,0,1,1,0
0,1,1,1,1,0,0,0,0,0
0,1,1,1,0,0,0,0,0,0
0,1,1,1,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0
1,1,1,0,1,0,0,0,0,0
1,0,0,0,1,0,0,0,0,0
1,0,1,0,1,0,0,0,0,0
1,1,1,1,1,0,0,0,0,0
0,1,1,0,0,0,0,0,0,0
0,1,1,1,0,0,0,0,0,0
0,1,0,0,1,0,0,0,0,0
0,0,1,0,1,0,0,0,0,0
1,1,0,1,1,1,0,1,0,0
1,1,1,0,0,0,0,0,0,0
1,0,0,0,1,1,0,0,0,1
0,1,1,1,0,0,0,0,0,0
0,0,0,1,1,0,0,0,0,0
0,0,0,0,1,0,0,0,0,0
1,1,0,1,0,0,0,0,0,0
1,0,1,0,1,0,0,0,0,0
1,1,1,1,0,0,0,0,0,0
0,1,0,1,0,0,0,0,0,0
1,0,1,1,1,0,0,0,0,0
0,0,0,0,1,0,0,0,0,0
1,1,0,1,0,0,0,0,0,0
1,1,1,1,0,0,0,0,0,0
1,1,0,0,1,0,0,0,0,0
0,1,1,0,0,0,0,0,0,0
